Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00879548020592815",0,"-0,00224909454812159",0,0,0,"287,973904356973","34,2025325428659","8,56952940977074E-15","-0,134064779208868","101,117560253562","5,72265930242648E-16","122,880210687156",0,0,0,0,0,0,package://agv_urdf/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://agv_urdf/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer_f_link,"-0,00717555718342811","-0,0278525654563684","-0,044283884059445",0,0,0,"26,0885663948635","0,193845103804711","-0,00184343974656806","0,00379714309592857","0,194092909845274","-0,0442523017048679","0,153445505801553",0,0,0,0,0,0,package://agv_urdf/meshes/steer_f_link.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://agv_urdf/meshes/steer_f_link.STL,,frs240v2-1/steer_motor_support-1,Origin_steer_f_joint,Axis_steer_f_joint,steer_f_joint,continuous,"0,78","0,28","-0,219",0,0,0,base_link,0,0,1,100,100,"0,1",1,,,"0,1","0,1",,,,
traction_f_link,0,0,"0,00540765020848077",0,0,0,"48,2721089005952","0,35604448663777","6,6317648394305E-18","7,79148194529945E-20","0,35604448663777","-3,4717407777933E-18","0,266277291373223",0,0,0,0,0,0,package://agv_urdf/meshes/traction_f_link.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://agv_urdf/meshes/traction_f_link.STL,,frs240v2-1/traction_motor_wheel-1,Origin_traction_f_joint,Axis_traction_f_joint,traction_f_joint,continuous,0,"-0,0005","-0,1808",0,0,0,steer_f_link,0,0,1,100,100,"0,1",1,,,"0,1","0,1",,,,
castor_f_link,"-0,0116716387839898","-4,44089209850063E-16","-0,0284449692331434",0,0,0,"7,96892334713999","0,0416073919894557","-1,06300246007598E-18","-0,0110442398178131","0,0422608740667285","1,2261569335218E-18","0,0224352820122703",0,0,0,0,0,0,package://agv_urdf/meshes/castor_f_link.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://agv_urdf/meshes/castor_f_link.STL,,castor-1/castor_staff-1,Origin_castor_f_joint,Axis_castor_f_joint,castor_f_joint,continuous,"0,85459","-0,28","-0,2204",0,0,0,base_link,0,0,1,100,100,"0,1",1,,,"0,1","0,1",,,,
castor_f_w_link,"1,11022302462516E-16","-5,55111512312578E-17",0,0,0,0,"0,366852188066652","0,00186124782211862","-5,01587969640318E-21","-4,46827755231372E-20","0,00186124782211862","5,1122589039438E-22","0,00342739082507927",0,0,0,0,0,0,package://agv_urdf/meshes/castor_f_w_link.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://agv_urdf/meshes/castor_f_w_link.STL,,castor-1/castor_wheel-1,Origin_castor_f_w_joint,Axis_castor_f_w_joint,castor_f_w_joint,continuous,"-0,07459",0,"-0,1794",0,0,0,castor_f_link,0,1,0,100,100,"0,1","0,1",,,"0,1","0,1",,,,
steer_b_link,"0,00717555718342833","0,0278525654563677","-0,044283884059445",0,0,0,"26,0885663948635","0,193845103804712","-0,00184343974656803","-0,00379714309592856","0,194092909845275","0,0442523017048681","0,153445505801553",0,0,0,0,0,0,package://agv_urdf/meshes/steer_b_link.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://agv_urdf/meshes/steer_b_link.STL,,frs240v2-2/steer_motor_support-1,Origin_steer_b_joint,Axis_steer_b_joint,steer_b_joint,continuous,"-0,78","-0,28","-0,219",0,0,0,base_link,0,0,1,100,100,"0,1",1,,,"0,1","0,1",,,,
traction_b_link,"1,11022302462516E-16","5,55111512312578E-17","-0,00540765020848033",0,0,0,"48,2721089005952","0,3560444866378","-1,17396581144442E-17","-4,58787554266472E-18","0,3560444866378","1,31824527773656E-17","0,266277291373223",0,0,0,0,0,0,package://agv_urdf/meshes/traction_b_link.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://agv_urdf/meshes/traction_b_link.STL,,frs240v2-2/traction_motor_wheel-1,Origin_traction_b_joint,Axis_traction_b_joint,traction_b_joint,continuous,0,"0,0005","-0,1808",0,0,0,steer_b_link,0,0,1,100,100,"0,1",1,,,"0,1","0,1",,,,
castor_b_link,"-0,0116716387839898",0,"-0,0284449692331483",0,0,0,"7,96892334714","0,0416073919895143","2,45730336529973E-19","-0,0110442398178125","0,0422608740667871","2,90832919792927E-18","0,0224352820122703",0,0,0,0,0,0,package://agv_urdf/meshes/castor_b_link.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://agv_urdf/meshes/castor_b_link.STL,,castor-2/castor_staff-1,Origin_castor_b_joint,Axis_castor_b_joint,castor_b_joint,continuous,"-0,70541","0,28","-0,2204",0,0,0,base_link,0,0,1,100,100,"0,1",1,,,"0,1","0,1",,,,
castor_b_w_link,0,"5,55111512312578E-17","4,44089209850063E-16",0,0,0,"0,366852188066652","0,00186124782211861","-5,01587969640399E-21","2,5035980350045E-21","0,00186124782211861","5,11225890394175E-22","0,00342739082507928",0,0,0,0,0,0,package://agv_urdf/meshes/castor_b_w_link.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://agv_urdf/meshes/castor_b_w_link.STL,,castor-2/castor_wheel-1,Origin_castor_b_w_joint,Axis_castor_b_w_joint,castor_b_w_joint,continuous,"-0,07459",0,"-0,1794","1,5708",0,0,castor_b_link,0,0,1,100,100,"0,1",1,,,"0,1","0,1",,,,
lidar_link,0,0,"-0,00690172767252528",0,0,0,"1,42972960856401","0,000735367328208808","5,02540064106494E-20","4,40395213278562E-20","0,000735367328208806","-8,70508206688143E-19","0,000854963034083045",0,0,0,0,0,0,package://agv_urdf/meshes/lidar_link.STL,"0,529411764705882","0,549019607843137","0,549019607843137",1,0,0,0,0,0,0,package://agv_urdf/meshes/lidar_link.STL,,lidar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,"0,9675",0,"0,0299999999999998",0,0,0,base_link,0,0,0,,,,,,,,,,,,
